F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,label
32.06026,0.057285424,31.512968,31.884626,32.181355,0.66838646,7.024309,0.0,4.8750086,0.0,0.20262027,0.63827735,0.10948663,0.17439671,0.32655156,0.21706492,1.1662449,0.48786902,0.2006991,0.08795509,0.04372686,1.0576305,29.169582,0.34186572,1.5207618,3.3812923,-20.382895,-0.51887375,-11.24462,-0.6116458,0.026733926,0.972153,1.1884395,0.58194536,4.3628635,1.0545906,3.3177402,0.98883,25.813425,0.1836281,667.81934,0.20650636,1421.3619,0.1174593,-42.6213,-1.8501579,1541.5448,0.07997991,1120.8604,0.2842059,-46.909096,-1.6262468,2839.4158,0.09128894,958.08966,0.70228046,-61.53755,-1.1208022,-7.618792,-0.38160723,24.57744,0.15412733,0.08601414,0.10622037,-0.0036791253,-2.9241152,0.04767355,0.93615687,32.667812,0.12973706,1.9428384,2.2694614,-23.373634,-0.29343814,-11.056628,-0.63608915,-4.547072,15.632317,0.087382674,0.01189915,0.029759767,0.69084626,0.6968641,1.1274999,1.4045529,0.22,0.17584082,-39.796898,0
24.473959,0.04379701,23.611876,24.306557,25.47374,1.8618641,6.5380735,3.3654127,3.4323118,3.406472,0.2891824,0.80827755,0.15355909,0.18389675,0.39190036,0.23834127,1.6787478,1.5433705,0.5649548,0.6239017,0.034819,1.3743075,39.584217,0.09558465,0.37842697,11.403631,-17.699652,-0.3185092,-22.271334,-0.24027126,0.0043017347,0.8851744,0.42145565,0.65881246,7.3070087,0.16142833,-4.5249987,-0.4250121,23.089073,0.19528994,432.95193,0.3023286,1377.5417,0.09268309,8.393156,4.7906413,1339.6848,0.13862993,979.759,0.08070567,2.238376,17.249434,2503.8892,0.08677956,690.07556,0.21969135,-16.639898,-2.11201,-8.404577,-0.24506576,25.097013,0.14441618,0.07849109,0.16557989,-0.01729279,-0.3789324,0.03557051,1.3636888,40.1151,0.06411496,0.25291598,16.799126,-18.368797,-0.23604855,-22.772017,-0.18808341,-8.094962,19.355558,0.06550515,0.006604147,0.016113654,0.16286644,0.054436583,17.72,0.0,0.31,0.11,-32.516006,0
33.747444,0.049249,33.861954,34.011936,34.15445,0.29249573,2.4777591,1.4977682,20.588419,0.0,0.22460662,0.925457,0.04107903,0.14307468,0.42721263,0.3861336,1.369042,0.52642757,0.46901846,0.4194896,0.023875484,1.177058,33.274117,0.3514375,-5.4108844,-2.0196402,-5.1692348,-2.2025063,-23.558298,-0.8024854,0.00452411,2.8469353,0.52528256,0.53578794,11.15298,0.14266826,2.053914,1.7883018,19.12375,0.23710117,737.2064,0.2339182,1559.663,0.18100598,-66.59314,-1.4668479,1534.8143,0.14581974,1466.7723,0.24326289,-74.62575,-1.2228866,2786.8875,0.055991825,695.32904,0.45647848,-80.64385,-1.0753889,-5.421678,-0.5500391,23.988653,0.18594757,0.072270334,0.15749004,-0.012240984,-0.8737629,0.03428347,0.86590415,41.31263,0.07502268,-12.2071,-0.49588403,-11.597081,-0.6968817,-34.581295,-0.39439905,-10.0196905,19.356363,0.06213528,0.014005297,0.0042143213,0.7398274,0.12406949,5.29,0.0,1.37,0.29,-35.057335,0
26.132925,0.020173797,25.881664,26.08348,26.306116,0.42445183,23.759783,47.82072,8.609454,12.714515,0.2079978,1.171855,0.04576061,0.11222998,0.38514543,0.33938482,2.1698112,2.6058185,0.22706631,0.08131241,0.03675926,1.849494,32.39404,0.43650174,-5.9878383,-1.179763,-16.409372,-0.63644975,-19.920961,-0.50656193,0.005851919,1.6430966,0.94346815,0.51093847,6.4493313,0.20085748,2.8451223,1.0450876,24.668777,0.20439333,488.86792,0.30991676,1503.7434,0.09925063,-43.50488,-2.0576735,1402.9023,0.17122515,1161.3416,0.13259877,-44.67451,-1.9572012,2590.9905,0.10164624,932.41284,0.2003358,-59.845222,-1.3191444,-6.9407115,-0.34550712,25.34497,0.18775477,0.08794916,0.093369864,-0.02431793,-0.41043815,0.04706704,1.5923713,39.646847,0.11514067,-4.7386045,-1.3820286,-20.803993,-0.31794125,-23.29262,-0.3818726,-0.029420573,8.41972,0.09335095,0.023261614,0.004535978,0.16090105,0.08077545,9.42,0.0,1.4649999,0.49499997,-34.525314,0
30.188742,0.009732216,29.999002,30.222467,30.371824,0.3728218,0.76515025,0.33038118,2.88921,2.4424152,0.1018355,1.0925874,0.06250351,0.06869441,0.0770477,0.014544189,0.9367534,0.5459484,-0.38653237,0.50236845,0.0066951937,2.2808948,34.771873,0.25924844,-1.9491246,-2.234505,-21.269556,-0.45511976,-25.68497,-0.25076103,0.0027944546,1.1774123,0.38109362,0.55833113,10.389178,0.122643314,0.8139529,4.4557853,28.249853,0.2038698,616.2687,0.25706765,1566.4352,0.1661008,-141.59772,-0.64936626,1522.0323,0.10077235,1104.7102,0.28389004,-141.27213,-0.63587713,2898.444,0.08577859,860.8501,0.5608236,-147.85059,-0.5397519,-10.847569,-0.32746094,32.624393,0.13172902,0.11077329,0.09579289,-0.009288218,-0.5754158,0.017101225,1.480761,38.14717,0.08956778,-2.0795288,-2.4907548,-28.701511,-0.30829227,-27.456047,-0.17103489,-10.99213,28.34619,0.107386425,-0.0037257755,0.0024564238,0.19398643,1.2639767,0.21269229,0.61157775,0.4475,0.52216494,-42.841385,0
28.259928,0.111379296,27.279665,27.458765,27.742962,0.4632969,75.984634,89.540115,66.40622,63.378185,0.6059479,0.55216354,0.42355034,0.4999618,0.82633114,0.4027808,2.4507768,1.1171788,1.9495258,1.0669793,0.07907827,1.1026437,31.43244,0.20210913,-27.490261,-0.2267692,-23.03833,-0.2928523,-14.417252,-0.2753123,0.014866441,2.8742225,0.51218385,1.6682868,8.15715,0.25941673,-4.116448,-1.1824375,5.5067906,1.0642182,631.3308,0.37929907,1436.9382,0.17254499,-0.3228615,-157.01299,1654.7976,0.18277258,1053.7135,0.24073373,1.3763651,34.510586,2760.257,0.111194514,1099.2803,0.33866468,-10.389688,-4.313603,-3.1248612,-0.749516,18.03091,0.23024358,0.08385798,0.11380086,-0.0057568275,-1.134856,0.08334778,1.0525386,32.77102,0.08372169,-28.75241,-0.108966425,-24.02839,-0.18976608,-14.515913,-0.26462546,-1.2084671,10.845034,0.091398396,0.019514669,0.0046144603,0.72859746,0.04564126,20.76,0.0,0.56,0.29,-26.511303,0
32.33485,0.0103619825,32.145313,32.367714,32.497795,0.35248184,-0.98136747,0.0,0.7539094,0.0,0.22368152,0.73454434,0.08571367,0.14157866,0.38216,0.29644632,1.9510806,1.3652811,0.09558309,0.0,0.013465573,1.4469376,42.92877,0.17903079,4.104213,1.195741,-23.965237,-0.37110463,-24.619152,-0.27092382,0.0027009014,4.8464713,0.17535444,1.6554526,11.88862,0.09013003,-3.973772,-0.48519552,28.212233,0.15031865,589.3667,0.25921497,1529.3823,0.122047015,-6.225525,-7.8059974,1494.6892,0.14504184,1321.2429,0.25599608,-20.478117,-2.1799328,2744.4656,0.06254707,913.3331,0.29385585,-35.141804,-1.1607217,-16.696583,-0.24497081,35.362133,0.121880874,0.09621508,0.09064725,-0.025493741,-0.35410497,0.014180111,1.4040179,44.72223,0.06605907,4.4286585,1.0298504,-25.323061,-0.27012783,-25.382666,-0.23310481,-7.3768067,17.34731,0.09250953,0.011346277,0.0032490056,0.1303781,0.1312336,7.17,0.0,0.21,0.14999999,-35.377426,0
29.787031,0.054040913,29.186031,29.478653,29.879658,0.6936264,9.091251,8.98367,0.4855909,0.9479987,0.1275073,0.7984011,0.07665952,0.09037698,0.1410449,0.06438538,1.930299,1.3203412,0.65232635,0.65840733,0.015135934,1.8167318,32.501556,0.19267994,12.140494,0.60320103,-15.241018,-0.69772846,-15.573622,-0.45603648,0.0066075907,1.355581,0.74286425,0.8855904,8.664172,0.22936593,-0.52068716,-8.248201,26.708282,0.21984212,534.6322,0.2974199,1519.62,0.12585795,-45.478527,-1.7763499,1446.7869,0.13969243,1213.613,0.23681377,-52.679855,-1.443302,2737.2605,0.07950826,901.4186,0.5055762,-65.248505,-1.0616794,-12.874111,-0.38697746,27.80172,0.2507985,0.093976155,0.13518512,-0.0169856,-0.9407608,0.017616883,1.7306503,33.74262,0.15623626,13.1816845,0.5316664,-17.370625,-0.60885394,-15.934521,-0.45484713,-11.20661,21.031319,0.096808985,-0.0036979713,0.0059695635,0.20090407,1.5609266,0.48451614,1.44585,0.12718749,0.117506236,-41.0936,0
31.337559,0.012072043,31.165623,31.314249,31.459728,0.29410553,15.561038,19.865318,8.480527,19.305756,0.21294467,0.82262343,0.031046733,0.16567129,0.37778667,0.34673995,0.69779056,0.34880063,0.9944075,0.7880548,0.018011361,1.5184362,35.120262,0.48939666,-5.629869,-0.86103755,-10.862145,-0.77224165,-21.441013,-0.5764812,0.0029237901,1.4736421,0.31853634,1.299846,10.9850855,0.1527115,5.7845383,0.48668885,30.828901,0.16224234,781.6714,0.08517277,1257.3254,0.09269747,-46.492798,-1.9599892,1706.213,0.06214746,1048.1062,0.14580478,-61.204117,-1.3436023,2985.7434,0.02153279,639.4407,0.27713946,-72.14793,-1.0493778,-15.8049,-0.25211906,34.3493,0.16115758,0.086735345,0.12676899,-0.01758535,-0.59989256,0.021601839,1.3576258,44.95717,0.109158896,-4.777513,-0.8397041,-14.289099,-0.43961185,-26.528296,-0.359046,-0.43625414,9.522381,0.085379034,0.026209181,0.0079564685,0.38363174,0.38610038,1.9066666,2.6540198,0.49499997,0.62982136,-35.893196,0
27.183817,0.18162355,24.022232,24.525957,35.212814,11.190582,159.74112,148.20723,113.013214,114.64666,0.3716995,0.52734524,0.25146243,0.32401964,0.5870571,0.33559468,1.3621763,1.2405593,1.098556,1.8073967,0.05641214,0.8917959,35.894024,0.27722058,6.04677,1.0974075,-14.794851,-0.53181344,-32.347805,-0.27452672,0.021053152,1.9492548,1.0432321,1.0280577,6.062049,0.39748433,0.06018279,76.90916,30.34894,0.19230582,657.3515,0.28483814,1413.1259,0.11250432,-17.686024,-3.8477921,1688.5021,0.17698282,1104.6445,0.17871864,-28.176105,-2.182061,2885.895,0.12387017,1006.0838,0.21959087,-41.50654,-1.3633196,-14.913222,-0.28017524,29.143333,0.15459661,0.07978619,0.114268444,-0.05259569,-0.15930693,0.06306394,0.789737,38.87261,0.13726003,7.7120266,0.5861415,-15.857012,-0.4379362,-34.637913,-0.16745825,-2.9636188,11.885526,0.08979933,0.008974805,0.005177193,0.9936766,0.09074411,9.78,0.0,0.60499996,0.015,-30.057547,0
